code,name,rating,fee,available_days
SPK-061,Bruno Fontaine,4.99,$11975.00,1;2;3
SPK-062,Ines Fontaine,3.89,$14850.00,1;3
SPK-063,Hiro Hashimoto,3.42,$14400.00,1;2;3
SPK-064,Mireille Fontaine,4.00,$15825.00,1;2;3
SPK-065,Zofia Xu,3.15,$12425.00,1;3
SPK-066,Yusuf Iyer,4.52,$11525.00,
SPK-067,Bruno Jankowski,4.25,$8250.00,1;3
SPK-068,Quentin Abbasi,3.13,$12750.00,1;2
SPK-069,Yusuf Zielinski,4.63,$10175.00,
SPK-070,Farid Lindqvist,4.60,$14525.00,1;2;3
SPK-071,Rosa Dimitrov,3.74,$5450.00,3
SPK-072,Wendell Eriksen,3.80,$13875.00,1;2;3
SPK-073,Priya Nakamura,3.77,$10125.00,1
SPK-074,Greta Fontaine,4.66,$5300.00,1;2;3
SPK-075,Lars Petrov,3.72,$6250.00,1;2;3
SPK-076,Hiro Moreau,4.09,$11800.00,1;2;3
SPK-077,Greta Quispe,3.30,$14175.00,1
SPK-078,Ada Hashimoto,3.71,$5250.00,3
SPK-079,Priya Hashimoto,3.80,$7300.00,1
SPK-080,Omar Ustinov,3.28,$14625.00,2
SPK-081,Greta Hashimoto,4.48,$7950.00,1;2;3
SPK-082,Nadia Nakamura,3.58,$12600.00,2;3
SPK-083,Hiro Eriksen,4.04,$11400.00,2;3
SPK-084,Omar Abbasi,3.19,$12300.00,3
SPK-085,Omar Hashimoto,4.62,$14025.00,1;3
SPK-086,Lars Quispe,3.51,$7075.00,1;3
SPK-087,Priya Petrov,3.07,$15925.00,
SPK-088,Rosa Ustinov,3.20,$11975.00,2
SPK-089,Farid Vasquez,3.24,$15950.00,
SPK-090,Greta Castellanos,3.20,$13450.00,
SPK-091,Farid Vasquez,4.31,$13700.00,3
SPK-092,Greta Castellanos,3.97,$10300.00,2;3
SPK-093,Wendell Abbasi,4.25,$5325.00,1
SPK-094,Hiro Sorensen,3.53,$9400.00,1;3
SPK-095,Nadia Hashimoto,3.67,$11425.00,1
SPK-096,Zofia Tanaka,4.73,$6050.00,1;2
SPK-097,Ada Vasquez,3.29,$10975.00,1;2
SPK-098,Farid Fontaine,4.65,$5625.00,1
SPK-099,Nadia Eriksen,3.28,$10525.00,1;2;3
SPK-100,Rosa Jankowski,3.19,$5200.00,1
SPK-101,Hiro Xu,4.53,$7250.00,1
SPK-102,Carmen Lindqvist,3.79,$6175.00,1;2
SPK-103,Xiomara Nakamura,3.16,$10850.00,1;2;3
SPK-104,Yusuf Grigoryan,3.46,$15900.00,1;2
SPK-105,Omar Rasmussen,4.04,$12525.00,1;2
SPK-106,Rosa Nakamura,3.15,$14600.00,
SPK-107,Yusuf Okonkwo,3.72,$10150.00,2;3
SPK-108,Tamar Sorensen,3.50,$6175.00,
SPK-109,Umut Hashimoto,4.42,$15425.00,2
SPK-110,Umut Fontaine,3.77,$5875.00,1;2;3
SPK-111,Hiro Okonkwo,3.59,$6750.00,
SPK-112,Xiomara Vasquez,4.93,$10950.00,3
SPK-113,Rosa Hashimoto,3.83,$9175.00,1;2;3
SPK-114,Ada Quispe,4.68,$12325.00,1;3
SPK-115,Farid Yamada,3.57,$8450.00,
SPK-116,Rosa Xu,3.46,$15400.00,2;3
SPK-117,Yusuf Abbasi,4.32,$7800.00,2
SPK-118,Priya Abbasi,3.01,$11550.00,1
SPK-119,Wendell Tanaka,3.76,$13050.00,3
SPK-120,Priya Hashimoto,3.57,$10400.00,1;2;3
